This is the extracted "Skeleton Framework" of the report, based strictly on the document's structure, generalized to form a reusable template.

### Report Skeleton Framework

| Section               | Heading Title (Generalized)                                                       | Heading Formatting                       | Numbering Style (Indentation)                                                                                              |
| :-------------------- | :-------------------------------------------------------------------------------- | :--------------------------------------- | :------------------------------------------------------------------------------------------------------------------------- |
| **Front Matter**      | HCMC UNIVERSITY OF TECHNOLOGY AND EDUCATION / \[INSTITUTION NAME\]                | **Bold, All Caps**                       | None                                                                                                                       |
|                       | FACULTY FOR INTERNATIONAL EDUCATION / \[FACULTY NAME\]                            | **Bold, All Caps, Multiple Asterisks**   | None                                                                                                                       |
|                       | CAPSTONE PROJECT                                                                  | **Bold, All Caps**                       | None                                                                                                                       |
|                       | \[PROJECT TITLE\]                                                                 | **Bold, All Caps, Multiple Lines**       | None                                                                                                                       |
|                       | INSTRUCTOR: \[INSTRUCTOR NAME/TITLE\]                                             | **Bold, All Caps/Initial Caps**          | None                                                                                                                       |
|                       | STUDENTS: \[STUDENT INFORMATION\]                                                 | **Bold, Initial Caps**                   | None                                                                                                                       |
|                       | \[City, Date\]                                                                    | ***Italic, Multiple Asterisks***         | None                                                                                                                       |
|                       | OBJECTIVES FOR CAPSTONE PROJECT                                                   | **Bold, All Caps**                       | None                                                                                                                       |
|                       | Student/Project Information & Major/Instructor Details                            | **Bold** for labels                      | None                                                                                                                       |
|                       | Contents: (Theory & Practice Lists)                                               | *Italic* for main labels                 | Bulleted List (-) under sub-labels                                                                                         |
|                       | INSTRUCTOR’S EVALUATION SHEET                                                     | **Bold, All Caps**                       | None                                                                                                                       |
|                       | *Evaluation Sub-points (Content, Strengths, Weaknesses, Approval, Overall, Mark)* | **Bold**                                 | Numbered List (1.-6.)                                                                                                      |
|                       | REVIEWER’S EVALUATION SHEET                                                       | **Bold, All Caps**                       | None                                                                                                                       |
|                       | *Evaluation Sub-points (Content, Strengths, Weaknesses, Approval, Overall, Mark)* | **Bold**                                 | Numbered List (1.-6.)                                                                                                      |
|                       | ACKNOWLEDGEMENT                                                                   | **Bold, All Caps**                       | None                                                                                                                       |
| **Table of Contents** | CONTENTS / LIST OF FIGURES                                                        | **Bold, All Caps**                       | None                                                                                                                       |
